City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Polson,US,47.6936,-114.1632,57.99,34,100,8.99,overcast clouds
283,Dunedin,NZ,-45.8742,170.5036,64.15,66,33,3.67,scattered clouds
284,Moreira Sales,BR,-24.0622,-53.0069,71.98,86,8,3.31,clear sky
285,Cidreira,BR,-30.1811,-50.2056,73.58,82,36,6.17,scattered clouds
286,Udarnyy,RU,54.3409,42.8611,25.38,94,29,3.76,scattered clouds
287,San Marcos,US,33.1434,-117.1661,86.0,19,1,11.5,clear sky
288,Kaharlyk,UA,49.8623,30.8282,44.6,65,0,8.95,clear sky
289,Brigg,GB,53.552,-0.4921,55.4,76,90,25.32,overcast clouds
290,Moron,AR,-34.6534,-58.6198,72.0,73,40,4.61,light rain
291,Barquisimeto,VE,10.0739,-69.3228,74.84,75,98,6.38,overcast clouds
292,Bayan,CN,46.0833,127.4,39.0,58,89,11.41,overcast clouds
293,Voh,NC,-20.9667,164.7,87.1,57,14,4.12,few clouds
294,Vardo,NO,70.3705,31.1107,35.6,69,40,6.91,scattered clouds
295,Cuauhtemoc,MX,28.4167,-106.8667,63.0,21,1,5.99,clear sky
296,Cabra,ES,37.4725,-4.4421,57.99,68,98,2.98,overcast clouds
297,Valparaiso,CL,-33.0393,-71.6273,62.6,82,0,4.61,clear sky
298,Madang,PG,-5.2246,145.7966,80.26,84,100,2.26,overcast clouds
299,Cap Malheureux,MU,-19.9842,57.6142,77.0,81,3,3.0,clear sky
300,Carora,VE,10.1755,-70.0827,80.65,59,100,13.91,overcast clouds
301,Aanekoski,FI,62.6946,25.818,35.6,75,40,11.5,scattered clouds
302,Mahebourg,MU,-20.4081,57.7,75.2,88,20,6.91,few clouds
303,Haines Junction,CA,60.7522,-137.5108,24.8,24,10,6.91,clear sky
304,Torbat-E Jam,IR,35.244,60.6225,41.36,65,89,8.37,overcast clouds
305,Keelung,TW,25.1283,121.7419,75.0,100,75,4.61,mist
306,Fallon,US,39.4735,-118.7774,73.99,8,1,8.05,clear sky
307,Comodoro Rivadavia,AR,-45.8667,-67.5,59.0,72,0,12.66,clear sky
308,Dayong,CN,25.0209,118.2898,68.0,83,90,6.71,overcast clouds
